ABC,Water,Gluten%,SV ml,Moisture,Slot
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,1
4.5,19,11.22,28,12.81,0
4.5,19,11.22,28,12.81,0
4.5,19,11.22,28,12.81,0
4.5,19,11.22,28,12.81,0
4.3,19,11.22,28,12.81,0
4.3,19,11.22,28,12.81,0
4.3,19,11.22,28,12.81,0
4.3,19,11.22,28,12.81,0
4.3,19,11.22,28,12.81,0
4.7,17,11,28,12.41,0
4.7,17,11,28,12.41,0
4.7,17,11,28,12.41,0
4.7,17,11,28,12.41,1
4.7,17,11,28,12.41,1
4.7,17,11,28,12.41,1
4.7,17,11,28,12.41,1
4.5,17,11,28,12.41,1
4.5,17,11,28,12.41,1
4.5,17,11,28,12.41,1
4.5,17,11,28,12.41,1
4.5,17,11,28,12.41,0
4.2,17,11,28,12.41,0
4.2,17,11,28,12.41,0
4.2,17,11,28,12.41,0
4,17,11,28,12.41,0
4,17,11,28,12.41,0
4,17,11,28,12.41,0
4,17,11,28,12.41,0
4,17,11,28,12.41,0
4,17,11,28,12.41,0
4,14,10.51,25,12.86,0
4,14,10.51,25,12.86,0
4,14,10.51,25,12.86,1
4,14,10.51,25,12.86,1
4,15,10.51,25,12.86,1
4,15,10.51,25,12.86,1
4,15,10.51,25,12.86,1
4,14,10.51,25,12.86,1
4,13,10.51,25,12.86,1
4,13,10.51,25,12.86,1
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,0
4,12,10.51,25,12.86,1
4,12,10.51,25,12.86,1
4,12,10.51,25,12.86,1
3.8,12,10.51,25,12.86,1
3.8,12,10.51,25,12.86,1
3.8,12,10.51,25,12.86,1
3.8,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,1
3.5,12,10.51,25,12.86,0
3.3,10,10.51,25,12.86,0
3.3,10,10.51,25,12.86,0
3.3,10,10.51,25,12.86,0
3.3,10,10.51,25,12.86,0
3.3,10,10.51,25,12.86,0
3.6,10,10.51,25,12.86,0
3.6,10,10.51,25,12.86,0
3.6,10,10.51,25,12.86,0
3.6,10,10.51,25,12.86,0
3.6,10,10.51,25,12.86,0
3.6,10,10.51,25,12.86,0
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,10,10.51,25,12.86,2
3.8,9,10.51,25,12.86,1
3.8,9,10.51,25,12.86,1
3.8,9,10.51,25,12.86,1
4,9,10.51,25,12.86,1
4,9,10.51,25,12.86,1
