,ABC,Water,Gluten%,SV ml,Moisture,Slot
342,6.1,18.0,11.48,27.0,12.98,1.0
343,6.1,18.0,11.48,27.0,12.98,1.0
344,6.1,18.0,11.48,27.0,12.98,1.0
345,6.1,18.0,11.48,27.0,12.98,1.0
346,6.1,18.0,11.48,27.0,12.98,1.0
347,5.9,18.0,11.48,27.0,12.98,3.0
348,5.9,18.0,11.48,27.0,12.98,3.0
349,5.9,18.0,11.48,27.0,12.98,3.0
350,5.9,18.0,11.48,27.0,12.98,3.0
351,5.9,18.0,11.48,27.0,12.98,3.0
352,5.9,18.0,11.48,27.0,12.98,3.0
353,5.9,18.0,11.48,27.0,12.98,3.0
354,5.9,18.0,11.48,27.0,12.98,3.0
355,5.9,18.0,11.48,27.0,12.98,3.0
356,5.9,18.0,11.48,27.0,12.98,3.0
357,5.9,18.0,11.48,27.0,12.98,3.0
358,5.9,18.0,11.48,27.0,12.98,3.0
359,6.2,18.0,11.48,27.0,12.98,3.0
360,6.2,18.0,11.48,27.0,12.98,3.0
361,6.2,18.0,11.48,27.0,12.98,3.0
362,6.2,18.0,11.48,27.0,12.98,3.0
363,6.2,18.0,11.48,27.0,12.98,3.0
364,6.2,18.0,11.48,27.0,12.98,3.0
365,6.2,18.0,11.48,27.0,12.98,3.0
366,6.2,18.0,11.48,27.0,12.98,3.0
367,6.2,18.0,11.48,27.0,12.98,3.0
368,6.2,18.0,11.48,27.0,12.98,3.0
369,6.2,18.0,11.48,27.0,12.98,3.0
370,6.2,18.0,11.48,27.0,12.98,3.0
371,6.7,22.0,11.48,27.0,12.98,2.0
372,6.7,22.0,11.48,27.0,12.98,2.0
373,6.7,22.0,11.48,27.0,12.98,2.0
374,6.7,22.0,11.48,27.0,12.98,2.0
375,6.7,22.0,11.48,27.0,12.98,2.0
376,6.7,22.0,11.48,27.0,12.98,2.0
377,6.7,22.0,11.48,27.0,12.98,2.0
378,6.7,22.0,11.48,27.0,12.98,2.0
379,6.5,22.0,11.48,27.0,12.98,2.0
380,6.5,22.0,11.48,27.0,12.98,2.0
381,6.5,22.0,11.48,27.0,12.98,2.0
382,6.5,22.0,11.48,27.0,12.98,2.0
383,6.5,22.0,11.48,27.0,12.98,2.0
384,6.5,22.0,11.48,27.0,12.98,2.0
385,6.2,22.0,11.48,27.0,12.98,1.0
386,6.2,22.0,11.48,27.0,12.98,1.0
387,6.0,22.0,11.48,27.0,12.98,1.0
388,6.0,22.0,11.48,27.0,12.98,1.0
389,5.8,22.0,11.48,27.0,12.98,1.0
390,5.8,22.0,11.48,27.0,12.98,1.0
391,6.2,22.0,11.48,27.0,12.98,1.0
392,6.5,22.0,11.48,27.0,12.98,1.0
393,6.5,22.0,11.48,27.0,12.98,1.0
394,6.5,22.0,11.48,27.0,12.98,1.0
395,6.5,22.0,11.48,27.0,12.98,1.0
396,6.4,16.0,11.48,27.0,12.98,3.0
397,6.4,16.0,11.48,27.0,12.98,3.0
398,6.4,16.0,11.48,27.0,12.98,3.0
399,6.4,16.0,11.48,27.0,12.98,3.0
400,6.4,16.0,11.48,27.0,12.98,3.0
401,6.4,16.0,11.48,27.0,12.98,3.0
